Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Texts,References,Correspondence Address,Editors,Publisher,Sponsors,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Costa G.; Pereira M.,Costa G. (56081586423); Pereira M. (59724448500),56081586423; 59724448500,Field deployment of a greenhouse climate control system (case 41),2020,Computers and Electronics in Agriculture,33,12,,218,304,18,10.9999/synthetic.2020.1040,https://doi.org/10.9999/synthetic.2020.1040,"Department of Agricultural Engineering, Example University, Example City, Country","Costa G., Department of Agricultural Engineering, Example University; Pereira M., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with simulation to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",actuator control; thermal comfort; greenhouse automation,actuator control; thermal comfort; greenhouse automation,,,,,,,"Nakamura N., Int J Agric Eng, 7, (2010); Martins D., Comput Electron Agric, 383, (2008); Oliveira S., Journal of Applied Sciences, 163, (2014); Silva K., Int J Agric Eng, 254, (2015); Queiroz Q., Journal of Applied Sciences, 79, (2020)","Costa G.; Department of Agricultural Engineering, Example University; email: example40@example.edu",,MDPI,,,,,,88049712,,,,English,Computers and Electronics in Agriculture,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100040
Henriques B.; Duarte D.,Henriques B. (59979002917); Duarte D. (60243775706),59979002917; 60243775706,A scalable approach to water quality assessment using sensor fusion (case 42),2020,Computers and Electronics in Agriculture,20,9,,288,312,11,10.9999/synthetic.2020.1041,https://doi.org/10.9999/synthetic.2020.1041,"Department of Agricultural Engineering, Example University, Example City, Country","Henriques B., Department of Agricultural Engineering, Example University; Duarte D., Department of Agricultural Engineering, Example University","This study investigates water quality assessment in the context of modern agricultural production systems. We propose a methodology combining statistical models with simulation to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on water quality assessment and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",water quality index; groundwater monitoring; nitrate leaching,water quality index; groundwater monitoring; nitrate leaching,,,,,,,"Esteves T., Comput Electron Agric, 62, (2016); Esteves T., Journal of Applied Sciences, 151, (2012); Barros S., Int J Agric Eng, 107, (2010); Barros D., Comput Electron Agric, 266, (2006); Lopes Q., Journal of Applied Sciences, 306, (2010); Pereira H., Comput Electron Agric, 133, (2019); Pereira H., Comput Electron Agric, 309, (2021)","Henriques B.; Department of Agricultural Engineering, Example University; email: example41@example.edu",,Elsevier Ltd,,,,,,14989898,,,,English,Computers and Electronics in Agriculture,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100041
Pereira M.; Esteves T.; Esteves P.,Pereira M. (59724448500); Esteves T. (57606820609); Esteves P. (60578623402),59724448500; 57606820609; 60578623402,Towards sustainable drone-based field surveying: a longitudinal study (case 43),2018,Journal of Cleaner Production,51,,,40,303,7,10.9999/synthetic.2018.1042,https://doi.org/10.9999/synthetic.2018.1042,"Department of Agricultural Engineering, Example University, Example City, Country","Pereira M., Department of Agricultural Engineering, Example University; Esteves T., Department of Agricultural Engineering, Example University; Esteves P., Department of Agricultural Engineering, Example University","This study investigates drone-based field surveying in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with field trials to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on drone-based field surveying and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",multispectral sensing; canopy segmentation; NDVI,multispectral sensing; canopy segmentation; NDVI,,,,,,,"Silva K., Int J Agric Eng, 316, (2021); Barros D., Journal of Applied Sciences, 343, (2022); Nakamura Q., Comput Electron Agric, 143, (2023)","Pereira M.; Department of Agricultural Engineering, Example University; email: example42@example.edu",,Wiley,,,,,,98493417,,,,English,Journal of Cleaner Production,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100042
Oliveira S.; Lopes Q.; Esteves G.,Oliveira S. (56511539030); Lopes Q. (56714797475); Esteves G. (56981988764),56511539030; 56714797475; 56981988764,Evaluating greenhouse climate control performance under temperate conditions (case 44),2019,Precision Agriculture,49,2,,231,315,4,10.9999/synthetic.2019.1043,https://doi.org/10.9999/synthetic.2019.1043,"Department of Agricultural Engineering, Example University, Example City, Country","Oliveira S., Department of Agricultural Engineering, Example University; Lopes Q., Department of Agricultural Engineering, Example University; Esteves G., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining statistical models with field trials to assess feasibility and performance. Results indicate measurable improvements in data collection reliability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",thermal comfort; microclimate modeling; actuator control,thermal comfort; microclimate modeling; actuator control,,,,,,,"Martins D., Comput Electron Agric, 210, (2008); Gomes J., Journal of Applied Sciences, 158, (2005); Henriques K., Int J Agric Eng, 341, (2023); Gomes J., Int J Agric Eng, 45, (2014); Klein P., Comput Electron Agric, 221, (2021); Nakamura Q., Journal of Applied Sciences, 168, (2014)","Oliveira S.; Department of Agricultural Engineering, Example University; email: example43@example.edu",,MDPI,,,,,,12629277,,,,English,Precision Agriculture,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100043
Esteves G.; Pereira M.; Duarte D.; Henriques K.,Esteves G. (56981988764); Pereira M. (59724448500); Duarte D. (60243775706); Henriques K. (59581770218),56981988764; 59724448500; 60243775706; 59581770218,Field deployment of a IoT crop monitoring system (case 45),2019,Sensors,19,,,179,311,9,10.9999/synthetic.2019.1044,https://doi.org/10.9999/synthetic.2019.1044,"Department of Agricultural Engineering, Example University, Example City, Country","Esteves G., Department of Agricultural Engineering, Example University; Pereira M., Department of Agricultural Engineering, Example University; Duarte D., Department of Agricultural Engineering, Example University; Henriques K., Department of Agricultural Engineering, Example University","This study investigates IoT crop monitoring in the context of modern agricultural production systems. We propose a methodology combining machine learning classifiers with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on IoT crop monitoring and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",edge computing; smart agriculture; Internet of Things,edge computing; smart agriculture; Internet of Things,,,,,,,"Junqueira Q., Comput Electron Agric, 57, (2022); Junqueira O., Journal of Applied Sciences, 322, (2018); Henriques K., Int J Agric Eng, 333, (2022); Costa G., Journal of Applied Sciences, 116, (2010)","Esteves G.; Department of Agricultural Engineering, Example University; email: example44@example.edu",,IEEE,,,,,,67977992,,,,English,Sensors,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100044
Pereira O.,Pereira O. (57628608159),57628608159,A novel approach to greenhouse climate control using statistical modeling (case 46),2019,Environmental Monitoring and Assessment,32,8,,183,314,8,10.9999/synthetic.2019.1045,https://doi.org/10.9999/synthetic.2019.1045,"Department of Agricultural Engineering, Example University, Example City, Country","Pereira O., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",greenhouse automation; energy efficiency; microclimate modeling,greenhouse automation; energy efficiency; microclimate modeling,,,,,,,"Queiroz E., Int J Agric Eng, 271, (2005); Oliveira E., Comput Electron Agric, 386, (2019); Martins N., Comput Electron Agric, 331, (2015); Ibrahim K., Int J Agric Eng, 48, (2011); Nakamura N., Journal of Applied Sciences, 106, (2010)","Pereira O.; Department of Agricultural Engineering, Example University; email: example45@example.edu",,Elsevier Ltd,,,,,,70082611,,,,English,Environmental Monitoring and Assessment,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100045
Barros S.; Gomes F.; Henriques B.; Gomes J.,Barros S. (58016898259); Gomes F. (59994691462); Henriques B. (59979002917); Gomes J. (57461347176),58016898259; 59994691462; 59979002917; 57461347176,Towards sustainable water quality assessment: a systematic study (case 47),2025,Smart Agricultural Technology,53,3,,295,320,10,10.9999/synthetic.2025.1046,https://doi.org/10.9999/synthetic.2025.1046,"Department of Agricultural Engineering, Example University, Example City, Country","Barros S., Department of Agricultural Engineering, Example University; Gomes F., Department of Agricultural Engineering, Example University; Henriques B., Department of Agricultural Engineering, Example University; Gomes J., Department of Agricultural Engineering, Example University","This study investigates water quality assessment in the context of modern agricultural production systems. We propose a methodology combining statistical models with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on water quality assessment and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",groundwater monitoring; water quality index; nitrate leaching,groundwater monitoring; water quality index; nitrate leaching,,,,,,,"Lopes Q., Comput Electron Agric, 310, (2021); Gomes F., Comput Electron Agric, 73, (2016); Henriques O., Journal of Applied Sciences, 12, (2005); Klein P., Comput Electron Agric, 164, (2009); Nakamura N., Comput Electron Agric, 155, (2012); Pereira M., Int J Agric Eng, 163, (2007)","Barros S.; Department of Agricultural Engineering, Example University; email: example46@example.edu",,Springer Nature,,,,,,13449511,,,,English,Smart Agricultural Technology,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100046
Gomes F.,Gomes F. (59994691462),59994691462,A scalable approach to precision irrigation using cloud computing (case 48),2019,Agricultural Water Management,8,,,294,305,8,10.9999/synthetic.2019.1047,https://doi.org/10.9999/synthetic.2019.1047,"Department of Agricultural Engineering, Example University, Example City, Country","Gomes F., Department of Agricultural Engineering, Example University","This study investigates precision irrigation in the context of modern agricultural production systems. We propose a methodology combining statistical models with historical datasets to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on precision irrigation and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",irrigation scheduling; soil moisture sensors; tensiometry,irrigation scheduling; soil moisture sensors; tensiometry,,,,,,,"Esteves P., Journal of Applied Sciences, 20, (2023); Esteves G., Comput Electron Agric, 141, (2020); Henriques O., Int J Agric Eng, 312, (2021); Oliveira S., Comput Electron Agric, 299, (2022)","Gomes F.; Department of Agricultural Engineering, Example University; email: example47@example.edu",,Springer Nature,,,,,,97025417,,,,English,Agricultural Water Management,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100047
Costa G.; Esteves G.; Esteves P.,Costa G. (56081586423); Esteves G. (56981988764); Esteves P. (60578623402),56081586423; 56981988764; 60578623402,A field-tested approach to machine learning yield prediction using embedded systems (case 49),2024,Environmental Monitoring and Assessment,20,9,,238,317,69,10.9999/synthetic.2024.1048,https://doi.org/10.9999/synthetic.2024.1048,"Department of Agricultural Engineering, Example University, Example City, Country","Costa G., Department of Agricultural Engineering, Example University; Esteves G., Department of Agricultural Engineering, Example University; Esteves P., Department of Agricultural Engineering, Example University","This study investigates machine learning yield prediction in the context of modern agricultural production systems. We propose a methodology combining machine learning classifiers with simulation to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on machine learning yield prediction and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",yield forecasting; feature selection; random forest,yield forecasting; feature selection; random forest,,,,,,,"Esteves G., Journal of Applied Sciences, 369, (2015); Junqueira O., Comput Electron Agric, 397, (2020); Ibrahim K., Journal of Applied Sciences, 228, (2019); Queiroz E., Comput Electron Agric, 35, (2016); Pereira O., Comput Electron Agric, 384, (2016); Henriques O., Int J Agric Eng, 254, (2012); Klein P., Int J Agric Eng, 240, (2007); Barros S., Journal of Applied Sciences, 271, (2007)","Costa G.; Department of Agricultural Engineering, Example University; email: example48@example.edu",,MDPI,,,,,,24650812,,,,English,Environmental Monitoring and Assessment,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100048
Pereira O.,Pereira O. (57628608159),57628608159,Evaluating precision irrigation performance under open-field conditions (case 50),2024,Sensors,16,,,30,302,17,10.9999/synthetic.2024.1049,https://doi.org/10.9999/synthetic.2024.1049,"Department of Agricultural Engineering, Example University, Example City, Country","Pereira O., Department of Agricultural Engineering, Example University","This study investigates precision irrigation in the context of modern agricultural production systems. We propose a methodology combining machine learning classifiers with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on precision irrigation and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",soil moisture sensors; tensiometry; water use efficiency,soil moisture sensors; tensiometry; water use efficiency,,,,,,,"Esteves G., Int J Agric Eng, 84, (2013); Pereira M., Journal of Applied Sciences, 117, (2010); Henriques O., Comput Electron Agric, 250, (2014); Esteves T., Journal of Applied Sciences, 390, (2021); Oliveira S., Int J Agric Eng, 157, (2022); Barros S., Comput Electron Agric, 76, (2006); Martins N., Int J Agric Eng, 75, (2024); Martins N., Comput Electron Agric, 252, (2015)","Pereira O.; Department of Agricultural Engineering, Example University; email: example49@example.edu",,MDPI,,,,,,72468184,,,,English,Sensors,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100049
Junqueira O.; Oliveira S.,Junqueira O. (59611815294); Oliveira S. (56511539030),59611815294; 56511539030,Cost-benefit analysis of a water quality assessment system (case 51),2018,Agricultural Water Management,39,,,133,306,58,10.9999/synthetic.2018.1050,https://doi.org/10.9999/synthetic.2018.1050,"Department of Agricultural Engineering, Example University, Example City, Country","Junqueira O., Department of Agricultural Engineering, Example University; Oliveira S., Department of Agricultural Engineering, Example University","This study investigates water quality assessment in the context of modern agricultural production systems. We propose a methodology combining statistical models with historical datasets to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on water quality assessment and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",eutrophication; nitrate leaching; water quality index,eutrophication; nitrate leaching; water quality index,,,,,,,"Teixeira R., Comput Electron Agric, 274, (2015); Gomes J., Comput Electron Agric, 307, (2021); Costa G., Journal of Applied Sciences, 381, (2016); Henriques O., Int J Agric Eng, 66, (2005)","Junqueira O.; Department of Agricultural Engineering, Example University; email: example50@example.edu",,IEEE,,,,,,28958858,,,,English,Agricultural Water Management,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100050
Martins N.; Lopes Q.; Barros D.; Oliveira E.,Martins N. (59003342394); Lopes Q. (56714797475); Barros D. (58447968578); Oliveira E. (59282635293),59003342394; 56714797475; 58447968578; 59282635293,Evaluating greenhouse climate control performance under greenhouse conditions (case 52),2025,Precision Agriculture,35,6,,48,320,14,10.9999/synthetic.2025.1051,https://doi.org/10.9999/synthetic.2025.1051,"Department of Agricultural Engineering, Example University, Example City, Country","Martins N., Department of Agricultural Engineering, Example University; Lopes Q., Department of Agricultural Engineering, Example University; Barros D., Department of Agricultural Engineering, Example University; Oliveira E., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with historical datasets to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",microclimate modeling; thermal comfort; energy efficiency,microclimate modeling; thermal comfort; energy efficiency,,,,,,,"Esteves G., Comput Electron Agric, 100, (2006); Esteves T., Int J Agric Eng, 246, (2005); Esteves T., Int J Agric Eng, 51, (2023); Gomes F., Journal of Applied Sciences, 216, (2009)","Martins N.; Department of Agricultural Engineering, Example University; email: example51@example.edu",,IEEE,,,,,,77162894,,,,English,Precision Agriculture,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100051
Henriques K.,Henriques K. (59581770218),59581770218,Towards sustainable greenhouse climate control: a comparative study (case 53),2022,Agricultural Water Management,33,7,,91,310,15,10.9999/synthetic.2022.1052,https://doi.org/10.9999/synthetic.2022.1052,"Department of Agricultural Engineering, Example University, Example City, Country","Henriques K., Department of Agricultural Engineering, Example University","This study investigates greenhouse climate control in the context of modern agricultural production systems. We propose a methodology combining machine learning classifiers with field trials to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on greenhouse climate control and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",energy efficiency; microclimate modeling; greenhouse automation,energy efficiency; microclimate modeling; greenhouse automation,,,,,,,"Silva K., Int J Agric Eng, 199, (2010); Queiroz E., Int J Agric Eng, 176, (2008); Queiroz E., Comput Electron Agric, 352, (2013); Henriques B., Journal of Applied Sciences, 349, (2022); Martins D., Int J Agric Eng, 323, (2005); Barros S., Comput Electron Agric, 97, (2011)","Henriques K.; Department of Agricultural Engineering, Example University; email: example52@example.edu",,MDPI,,,,,,43451966,,,,English,Agricultural Water Management,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100052
Martins N.; Nakamura Q.; Henriques B.; Henriques O.,Martins N. (59003342394); Nakamura Q. (59311319956); Henriques B. (59979002917); Henriques O. (60494014838),59003342394; 59311319956; 59979002917; 60494014838,Towards sustainable water quality assessment: a pilot study (case 54),2019,Biosystems Engineering,41,5,,222,317,13,10.9999/synthetic.2019.1053,https://doi.org/10.9999/synthetic.2019.1053,"Department of Agricultural Engineering, Example University, Example City, Country","Martins N., Department of Agricultural Engineering, Example University; Nakamura Q., Department of Agricultural Engineering, Example University; Henriques B., Department of Agricultural Engineering, Example University; Henriques O., Department of Agricultural Engineering, Example University","This study investigates water quality assessment in the context of modern agricultural production systems. We propose a methodology combining statistical models with historical datasets to assess feasibility and performance. Results indicate measurable improvements in yield stability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on water quality assessment and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",eutrophication; sensor calibration; nitrate leaching,eutrophication; sensor calibration; nitrate leaching,,,,,,,"Junqueira Q., Journal of Applied Sciences, 134, (2011); Pereira O., Journal of Applied Sciences, 294, (2019); Gomes J., Journal of Applied Sciences, 110, (2010); Oliveira E., Comput Electron Agric, 56, (2024); Costa G., Journal of Applied Sciences, 288, (2021); Pereira M., Comput Electron Agric, 369, (2012)","Martins N.; Department of Agricultural Engineering, Example University; email: example53@example.edu",,Springer Nature,,,,,,73096553,,,,English,Biosystems Engineering,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100053
Henriques O.,Henriques O. (60494014838),60494014838,Towards sustainable machine learning yield prediction: a comparative study (case 55),2023,Sensors,31,6,,211,311,10,10.9999/synthetic.2023.1054,https://doi.org/10.9999/synthetic.2023.1054,"Department of Agricultural Engineering, Example University, Example City, Country","Henriques O., Department of Agricultural Engineering, Example University","This study investigates machine learning yield prediction in the context of modern agricultural production systems. We propose a methodology combining statistical models with field trials to assess feasibility and performance. Results indicate measurable improvements in data collection reliability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on machine learning yield prediction and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",feature selection; remote sensing; random forest,feature selection; remote sensing; random forest,,,,,,,"Klein P., Int J Agric Eng, 231, (2024); Oliveira E., Comput Electron Agric, 364, (2023); Silva K., Journal of Applied Sciences, 101, (2007); Oliveira E., Int J Agric Eng, 183, (2018); Queiroz Q., Comput Electron Agric, 19, (2010)","Henriques O.; Department of Agricultural Engineering, Example University; email: example54@example.edu",,Springer Nature,,,,,,58921221,,,,English,Sensors,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100054
Esteves G.,Esteves G. (56981988764),56981988764,Evaluating IoT crop monitoring performance under greenhouse conditions (case 56),2023,Journal of Cleaner Production,59,,,42,310,17,10.9999/synthetic.2023.1055,https://doi.org/10.9999/synthetic.2023.1055,"Department of Agricultural Engineering, Example University, Example City, Country","Esteves G., Department of Agricultural Engineering, Example University","This study investigates IoT crop monitoring in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with simulation to assess feasibility and performance. Results indicate measurable improvements in data collection reliability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on IoT crop monitoring and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",wireless sensor networks; Internet of Things; edge computing,wireless sensor networks; Internet of Things; edge computing,,,,,,,"Junqueira Q., Comput Electron Agric, 24, (2012); Pereira O., Journal of Applied Sciences, 399, (2007); Oliveira S., Comput Electron Agric, 303, (2008); Martins D., Journal of Applied Sciences, 165, (2018); Esteves T., Comput Electron Agric, 96, (2021)","Esteves G.; Department of Agricultural Engineering, Example University; email: example55@example.edu",,Wiley,,,,,,37889325,,,,English,Journal of Cleaner Production,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100055
Martins N.; Barros D.; Henriques B.,Martins N. (59003342394); Barros D. (58447968578); Henriques B. (59979002917),59003342394; 58447968578; 59979002917,Towards sustainable drone-based field surveying: a comparative study (case 57),2018,Sensors,57,,,236,306,10,10.9999/synthetic.2018.1056,https://doi.org/10.9999/synthetic.2018.1056,"Department of Agricultural Engineering, Example University, Example City, Country","Martins N., Department of Agricultural Engineering, Example University; Barros D., Department of Agricultural Engineering, Example University; Henriques B., Department of Agricultural Engineering, Example University","This study investigates drone-based field surveying in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on drone-based field surveying and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",photogrammetry; UAV imagery; multispectral sensing,photogrammetry; UAV imagery; multispectral sensing,,,,,,,"Henriques B., Int J Agric Eng, 366, (2016); Gomes F., Journal of Applied Sciences, 194, (2008); Esteves G., Journal of Applied Sciences, 227, (2020); Oliveira E., Comput Electron Agric, 245, (2005); Gomes F., Int J Agric Eng, 376, (2023); Esteves G., Journal of Applied Sciences, 248, (2022); Barros S., Int J Agric Eng, 124, (2021)","Martins N.; Department of Agricultural Engineering, Example University; email: example56@example.edu",,Elsevier Ltd,,,,,,50755786,,,,English,Sensors,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100056
Barros D.; Pereira M.; Esteves G.,Barros D. (58447968578); Pereira M. (59724448500); Esteves G. (56981988764),58447968578; 59724448500; 56981988764,Performance evaluation of a IoT crop monitoring system (case 58),2024,Smart Agricultural Technology,15,,,114,302,11,10.9999/synthetic.2024.1057,https://doi.org/10.9999/synthetic.2024.1057,"Department of Agricultural Engineering, Example University, Example City, Country","Barros D., Department of Agricultural Engineering, Example University; Pereira M., Department of Agricultural Engineering, Example University; Esteves G., Department of Agricultural Engineering, Example University","This study investigates IoT crop monitoring in the context of modern agricultural production systems. We propose a methodology combining open-source firmware with greenhouse experiments to assess feasibility and performance. Results indicate measurable improvements in data collection reliability compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on IoT crop monitoring and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",LoRaWAN; edge computing; wireless sensor networks,LoRaWAN; edge computing; wireless sensor networks,,,,,,,"Pereira M., Journal of Applied Sciences, 158, (2018); Junqueira Q., Int J Agric Eng, 323, (2016); Nakamura Q., Comput Electron Agric, 150, (2007); Henriques B., Int J Agric Eng, 267, (2011); Nakamura N., Journal of Applied Sciences, 1, (2006)","Barros D.; Department of Agricultural Engineering, Example University; email: example57@example.edu",,Wiley,,,,,,93592611,,,,English,Smart Agricultural Technology,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100057
Nakamura N.; Teixeira R.; Pereira H.; Klein P.,Nakamura N. (58464912100); Teixeira R. (59016594137); Pereira H. (58149103786); Klein P. (59298064654),58464912100; 59016594137; 58149103786; 59298064654,Design and validation of a drone-based field surveying system (case 59),2019,Precision Agriculture,22,,,214,306,1,10.9999/synthetic.2019.1058,https://doi.org/10.9999/synthetic.2019.1058,"Department of Agricultural Engineering, Example University, Example City, Country","Nakamura N., Department of Agricultural Engineering, Example University; Teixeira R., Department of Agricultural Engineering, Example University; Pereira H., Department of Agricultural Engineering, Example University; Klein P., Department of Agricultural Engineering, Example University","This study investigates drone-based field surveying in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with historical datasets to assess feasibility and performance. Results indicate measurable improvements in resource use efficiency compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on drone-based field surveying and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",UAV imagery; photogrammetry; multispectral sensing,UAV imagery; photogrammetry; multispectral sensing,,,,,,,"Junqueira Q., Int J Agric Eng, 351, (2013); Nakamura N., Comput Electron Agric, 299, (2021); Henriques K., Journal of Applied Sciences, 363, (2018); Nakamura Q., Int J Agric Eng, 15, (2014); Nakamura N., Comput Electron Agric, 250, (2016); Esteves T., Comput Electron Agric, 75, (2021)","Nakamura N.; Department of Agricultural Engineering, Example University; email: example58@example.edu",,Elsevier Ltd,,,,,,66536718,,,,English,Precision Agriculture,Article,Final,,Scopus (synthetic example),2-s2.0-synthetic100058
Silva K.,Silva K. (57392537542),57392537542,Evaluating drone-based field surveying performance under semi-arid conditions (case 60),2020,Environmental Monitoring and Assessment,16,,,38,303,17,10.9999/synthetic.2020.1059,https://doi.org/10.9999/synthetic.2020.1059,"Department of Agricultural Engineering, Example University, Example City, Country","Silva K., Department of Agricultural Engineering, Example University","This study investigates drone-based field surveying in the context of modern agricultural production systems. We propose a methodology combining low-cost sensors with simulation to assess feasibility and performance. Results indicate measurable improvements in operational cost compared to conventional practice, with three replicate trials showing consistent trends. The findings contribute to the growing body of work on drone-based field surveying and provide practical guidance for practitioners and policy makers seeking to adopt similar technologies at scale.",UAV imagery; canopy segmentation; multispectral sensing,UAV imagery; canopy segmentation; multispectral sensing,,,,,,,"Henriques B., Comput Electron Agric, 70, (2007); Esteves P., Journal of Applied Sciences, 400, (2013); Lopes Q., Journal of Applied Sciences, 153, (2005)","Silva K.; Department of Agricultural Engineering, Example University; email: example59@example.edu",,Springer Nature,,,,,,81574430,,,,English,Environmental Monitoring and Assessment,Article,Final,"All Open Access, Gold",Scopus (synthetic example),2-s2.0-synthetic100059
